datetime,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
3/1/2013 0:00,9,62,0.3,1021.9,-19,0
3/1/2013 1:00,11,66,-0.1,1022.4,-19.3,0
3/1/2013 2:00,8,59,-0.6,1022.6,-19.7,0
3/1/2013 4:00,8,36,-0.9,1024.1,-21.7,0
3/1/2013 5:00,10,64,-1.6,1024.7,-21.1,0
3/1/2013 6:00,8,61,-2.4,1025.4,-20.3,0
3/1/2013 7:00,8,54,-0.8,1026.7,-19.9,0
3/1/2013 8:00,3,50,0.4,1027.3,-19.4,0
3/1/2013 9:00,3,56,1.5,1027.4,-19.7,0
3/1/2013 10:00,3,61,2.1,1027.3,-21.2,0
3/1/2013 11:00,3,62,3.1,1027.2,-21.1,0
3/1/2013 12:00,3,67,4.7,1026.3,-20.6,0
3/1/2013 13:00,3,70,5.5,1025.2,-20,0
3/1/2013 14:00,3,72,6.6,1024.9,-19.9,0
3/1/2013 15:00,12,73,6.1,1024.7,-19.5,0
3/1/2013 16:00,11,72,5.9,1024.7,-18.8,0
3/1/2013 17:00,13,67,5.3,1025.3,-19.3,0
3/1/2013 18:00,10,58,4.1,1026.4,-19.5,0
3/1/2013 19:00,10,50,3.2,1027.2,-18.9,0
3/1/2013 20:00,11,47,2.6,1028.2,-18.8,0
3/1/2013 21:00,10,44,2.2,1029.2,-17.9,0
3/1/2013 22:00,10,34,2,1029.5,-18.1,0
3/1/2013 23:00,15,31,1,1029.6,-18.4,0
3/2/2013 0:00,5,39,0.5,1030.2,-18.3,0
3/2/2013 1:00,3,40,-0.3,1030.2,-17.5,0
3/2/2013 2:00,3,44,-1.2,1029.6,-17,0
3/2/2013 3:00,3,43,-2.9,1029.7,-14.9,0
3/2/2013 4:00,3,41,-2.4,1029.8,-15.5,0
3/2/2013 5:00,8,57,-1.2,1029.2,-17.9,0
3/2/2013 6:00,8,37,-1.2,1028.5,-17.9,0
3/2/2013 7:00,3,8,-1.1,1029.2,-16.1,0
3/2/2013 8:00,4,17,0,1028.8,-16.8,0
3/2/2013 9:00,4,23,1.1,1028.9,-16.8,0
3/2/2013 10:00,5,20,1.9,1028.4,-17.1,0
3/2/2013 11:00,13,15,2.5,1027.5,-17.7,0
3/2/2013 12:00,17,29,3.3,1026.2,-17.6,0
3/2/2013 13:00,24,43,4.2,1024.8,-16.8,0
3/2/2013 14:00,18,44,4.1,1024.1,-16.3,0
3/2/2013 15:00,34,40,3.9,1023.5,-15.9,0
3/2/2013 16:00,42,38,3.8,1022.8,-15,0
3/2/2013 17:00,56,37,3.1,1022.7,-14.1,0
3/2/2013 18:00,56,31,2.6,1022.5,-13.7,0
3/2/2013 19:00,64,14,0.6,1022.2,-12.8,0
3/2/2013 20:00,72,2,-0.2,1022.3,-11,0
3/2/2013 21:00,88,2,-0.1,1021.8,-10.9,0
3/2/2013 22:00,101,2,-2.4,1021.3,-11.7,0
3/2/2013 23:00,108,2,-2.3,1020.3,-12.1,0
3/3/2013 0:00,101,2,-0.6,1019.4,-14.2,0
3/3/2013 1:00,77,2,-0.1,1018.7,-14.5,0
3/3/2013 2:00,97,2,-2.8,1017.3,-13.4,0
3/3/2013 3:00,107,2,-4.4,1016.6,-11.7,0
3/3/2013 4:00,107,2,-5.1,1015.9,-11.5,0
3/3/2013 5:00,104,2,-5.3,1015.7,-11.2,0
3/3/2013 6:00,87,2,-5.8,1015.6,-11.1,0
3/3/2013 7:00,86,2,-3.2,1015.8,-10.3,0
3/3/2013 8:00,84,2,1.7,1015.1,-12.5,0
3/3/2013 9:00,88,2,3.8,1015,-12.6,0
3/3/2013 10:00,91,2,7.2,1014.1,-12.1,0
3/3/2013 11:00,93,4,11.1,1012.8,-11.7,0
3/3/2013 12:00,101,6,12.7,1011.9,-12.5,0
3/3/2013 13:00,110,18,13.7,1010.6,-11.7,0
3/3/2013 14:00,92,35,14.7,1010.2,-12.6,0
3/3/2013 15:00,114,55,15,1009.6,-12.3,0
3/3/2013 16:00,95,60,13.6,1009.8,-9.6,0
3/3/2013 17:00,77,50,11.6,1010.4,-8.9,0
3/3/2013 18:00,84,16,8.6,1011.4,-8,0
3/3/2013 19:00,123,2,9.6,1012.4,-12.3,0
3/3/2013 20:00,150,2,12.1,1012.6,-13,0
3/3/2013 21:00,147,2,5.1,1012.8,-12.4,0
3/3/2013 22:00,62,2,3.5,1012.9,-10.9,0
3/3/2013 23:00,27,2,9.6,1013.8,-11.7,0
3/4/2013 0:00,33,2,9.6,1014.8,-11.7,0
3/4/2013 1:00,31,2,8.8,1015.6,-11.8,0
3/4/2013 2:00,23,44,7.8,1016.1,-11.6,0
3/4/2013 3:00,10,56,7.6,1015.9,-11.7,0
3/4/2013 4:00,8,37,4.8,1016.8,-12.2,0
3/4/2013 5:00,9,44,1.9,1017.4,-11.6,0
3/4/2013 6:00,4,33,1,1018.1,-10.5,0
3/4/2013 7:00,8,11,6.6,1019,-11.1,0
3/4/2013 8:00,9,8,9,1019.8,-11.1,0
3/4/2013 9:00,12,36,10.7,1019.8,-12.7,0
3/4/2013 10:00,11,51,11.6,1019.7,-12.7,0
3/4/2013 11:00,12,60,13.1,1019,-13,0
3/4/2013 12:00,15,63,14.3,1018.1,-12.9,0
3/4/2013 13:00,13,67,14.5,1017,-13.7,0
3/4/2013 14:00,8,69,15.8,1016.1,-12.6,0
3/4/2013 15:00,10,67,15.1,1015.4,-14.2,0
3/4/2013 16:00,12,75,14.6,1015,-13.6,0
3/4/2013 17:00,23,87,12.8,1015.2,-11.7,0
3/4/2013 18:00,29,63,11.2,1015.7,-11.6,0
3/4/2013 19:00,32,32,9.5,1015.9,-10.6,0
3/4/2013 20:00,40,14,7.8,1016.1,-10.6,0
3/4/2013 21:00,56,4,6.9,1016.3,-10.4,0
3/4/2013 22:00,71,7,6.6,1016,-10.2,0
3/4/2013 23:00,76,87,4.9,1015,-9.7,0
3/5/2013 0:00,82,87,5,1014.6,-8.9,0
3/5/2013 1:00,93,87,3.7,1013.9,-8.4,0
3/5/2013 2:00,107,87,2.3,1013.5,-7.9,0
3/5/2013 3:00,114,87,-0.4,1013,-7.7,0
3/5/2013 4:00,125,87,-1.1,1012.9,-8.1,0
3/5/2013 5:00,138,87,-1.9,1012.9,-7.8,0
3/5/2013 6:00,132,87,-0.1,1012.6,-9,0
