Location,year,month,day,hour,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
Wanshouxigong,2013,3,1,0,9,62,0.3,1021.9,-19,0
Wanshouxigong,2013,3,1,1,11,66,-0.1,1022.4,-19.3,0
Wanshouxigong,2013,3,1,2,8,59,-0.6,1022.6,-19.7,0
Wanshouxigong,2013,3,1,3,8,NA,-0.7,1023.5,-20.9,0
Wanshouxigong,2013,3,1,4,8,36,-0.9,1024.1,-21.7,0
Wanshouxigong,2013,3,1,5,10,64,-1.6,1024.7,-21.1,0
Wanshouxigong,2013,3,1,6,8,61,-2.4,1025.4,-20.3,0
Wanshouxigong,2013,3,1,7,8,54,-0.8,1026.7,-19.9,0
Wanshouxigong,2013,3,1,8,3,50,0.4,1027.3,-19.4,0
Wanshouxigong,2013,3,1,9,3,56,1.5,1027.4,-19.7,0
Wanshouxigong,2013,3,1,10,3,61,2.1,1027.3,-21.2,0
Wanshouxigong,2013,3,1,11,3,62,3.1,1027.2,-21.1,0
Wanshouxigong,2013,3,1,12,3,67,4.7,1026.3,-20.6,0
Wanshouxigong,2013,3,1,13,3,70,5.5,1025.2,-20,0
Wanshouxigong,2013,3,1,14,3,72,6.6,1024.9,-19.9,0
Wanshouxigong,2013,3,1,15,12,73,6.1,1024.7,-19.5,0
Wanshouxigong,2013,3,1,16,11,72,5.9,1024.7,-18.8,0
Wanshouxigong,2013,3,1,17,13,67,5.3,1025.3,-19.3,0
Wanshouxigong,2013,3,1,18,10,58,4.1,1026.4,-19.5,0
Wanshouxigong,2013,3,1,19,10,50,3.2,1027.2,-18.9,0
Wanshouxigong,2013,3,1,20,11,47,2.6,1028.2,-18.8,0
Wanshouxigong,2013,3,1,21,10,44,2.2,1029.2,-17.9,0
Wanshouxigong,2013,3,1,22,10,34,2,1029.5,-18.1,0
Wanshouxigong,2013,3,1,23,15,31,1,1029.6,-18.4,0
Wanshouxigong,2013,3,2,0,5,39,0.5,1030.2,-18.3,0
Wanshouxigong,2013,3,2,1,3,40,-0.3,1030.2,-17.5,0
Wanshouxigong,2013,3,2,2,3,44,-1.2,1029.6,-17,0
Wanshouxigong,2013,3,2,3,3,43,-2.9,1029.7,-14.9,0
Wanshouxigong,2013,3,2,4,3,41,-2.4,1029.8,-15.5,0
Wanshouxigong,2013,3,2,5,8,57,-1.2,1029.2,-17.9,0
Wanshouxigong,2013,3,2,6,8,37,-1.2,1028.5,-17.9,0
Wanshouxigong,2013,3,2,7,3,8,-1.1,1029.2,-16.1,0
Wanshouxigong,2013,3,2,8,4,17,0,1028.8,-16.8,0
Wanshouxigong,2013,3,2,9,4,23,1.1,1028.9,-16.8,0
Wanshouxigong,2013,3,2,10,5,20,1.9,1028.4,-17.1,0
Wanshouxigong,2013,3,2,11,13,15,2.5,1027.5,-17.7,0
Wanshouxigong,2013,3,2,12,17,29,3.3,1026.2,-17.6,0
Wanshouxigong,2013,3,2,13,24,43,4.2,1024.8,-16.8,0
Wanshouxigong,2013,3,2,14,18,44,4.1,1024.1,-16.3,0
Wanshouxigong,2013,3,2,15,34,40,3.9,1023.5,-15.9,0
Wanshouxigong,2013,3,2,16,42,38,3.8,1022.8,-15,0
Wanshouxigong,2013,3,2,17,56,37,3.1,1022.7,-14.1,0
Wanshouxigong,2013,3,2,18,56,31,2.6,1022.5,-13.7,0
Wanshouxigong,2013,3,2,19,64,14,0.6,1022.2,-12.8,0
Wanshouxigong,2013,3,2,20,72,2,-0.2,1022.3,-11,0
Wanshouxigong,2013,3,2,21,88,2,-0.1,1021.8,-10.9,0
Wanshouxigong,2013,3,2,22,101,2,-2.4,1021.3,-11.7,0
Wanshouxigong,2013,3,2,23,108,2,-2.3,1020.3,-12.1,0
Wanshouxigong,2013,3,3,0,101,2,-0.6,1019.4,-14.2,0
Wanshouxigong,2013,3,3,1,77,2,-0.1,1018.7,-14.5,0
Wanshouxigong,2013,3,3,2,97,2,-2.8,1017.3,-13.4,0
Wanshouxigong,2013,3,3,3,107,2,-4.4,1016.6,-11.7,0
Wanshouxigong,2013,3,3,4,107,2,-5.1,1015.9,-11.5,0
Wanshouxigong,2013,3,3,5,104,2,-5.3,1015.7,-11.2,0
Wanshouxigong,2013,3,3,6,87,2,-5.8,1015.6,-11.1,0
Wanshouxigong,2013,3,3,7,86,2,-3.2,1015.8,-10.3,0
Wanshouxigong,2013,3,3,8,84,2,1.7,1015.1,-12.5,0
Wanshouxigong,2013,3,3,9,88,2,3.8,1015,-12.6,0
Wanshouxigong,2013,3,3,10,91,2,7.2,1014.1,-12.1,0
Wanshouxigong,2013,3,3,11,93,4,11.1,1012.8,-11.7,0
Wanshouxigong,2013,3,3,12,101,6,12.7,1011.9,-12.5,0
Wanshouxigong,2013,3,3,13,110,18,13.7,1010.6,-11.7,0
Wanshouxigong,2013,3,3,14,92,35,14.7,1010.2,-12.6,0
Wanshouxigong,2013,3,3,15,114,55,15,1009.6,-12.3,0
Wanshouxigong,2013,3,3,16,95,60,13.6,1009.8,-9.6,0
Wanshouxigong,2013,3,3,17,77,50,11.6,1010.4,-8.9,0
Wanshouxigong,2013,3,3,18,84,16,8.6,1011.4,-8,0
Wanshouxigong,2013,3,3,19,123,2,9.6,1012.4,-12.3,0
Wanshouxigong,2013,3,3,20,150,2,12.1,1012.6,-13,0
Wanshouxigong,2013,3,3,21,147,2,5.1,1012.8,-12.4,0
Wanshouxigong,2013,3,3,22,62,2,3.5,1012.9,-10.9,0
Wanshouxigong,2013,3,3,23,27,2,9.6,1013.8,-11.7,0
Wanshouxigong,2013,3,4,0,33,2,9.6,1014.8,-11.7,0
Wanshouxigong,2013,3,4,1,31,2,8.8,1015.6,-11.8,0
Wanshouxigong,2013,3,4,2,23,44,7.8,1016.1,-11.6,0
Wanshouxigong,2013,3,4,3,10,56,7.6,1015.9,-11.7,0
Wanshouxigong,2013,3,4,4,8,37,4.8,1016.8,-12.2,0
Wanshouxigong,2013,3,4,5,9,44,1.9,1017.4,-11.6,0
Wanshouxigong,2013,3,4,6,4,33,1,1018.1,-10.5,0
Wanshouxigong,2013,3,4,7,8,11,6.6,1019,-11.1,0
Wanshouxigong,2013,3,4,8,9,8,9,1019.8,-11.1,0
Wanshouxigong,2013,3,4,9,12,36,10.7,1019.8,-12.7,0
Wanshouxigong,2013,3,4,10,11,51,11.6,1019.7,-12.7,0
Wanshouxigong,2013,3,4,11,12,60,13.1,1019,-13,0
Wanshouxigong,2013,3,4,12,15,63,14.3,1018.1,-12.9,0
Wanshouxigong,2013,3,4,13,13,67,14.5,1017,-13.7,0
Wanshouxigong,2013,3,4,14,8,69,15.8,1016.1,-12.6,0
Wanshouxigong,2013,3,4,15,10,67,15.1,1015.4,-14.2,0
Wanshouxigong,2013,3,4,16,12,75,14.6,1015,-13.6,0
Wanshouxigong,2013,3,4,17,23,87,12.8,1015.2,-11.7,0
Wanshouxigong,2013,3,4,18,29,63,11.2,1015.7,-11.6,0
Wanshouxigong,2013,3,4,19,32,32,9.5,1015.9,-10.6,0
Wanshouxigong,2013,3,4,20,40,14,7.8,1016.1,-10.6,0
Wanshouxigong,2013,3,4,21,56,4,6.9,1016.3,-10.4,0
Wanshouxigong,2013,3,4,22,71,7,6.6,1016,-10.2,0
Wanshouxigong,2013,3,4,23,76,87,4.9,1015,-9.7,0
Wanshouxigong,2013,3,5,0,82,87,5,1014.6,-8.9,0
Wanshouxigong,2013,3,5,1,93,87,3.7,1013.9,-8.4,0
Wanshouxigong,2013,3,5,2,107,87,2.3,1013.5,-7.9,0
Wanshouxigong,2013,3,5,3,114,87,-0.4,1013,-7.7,0
Wanshouxigong,2013,3,5,4,125,87,-1.1,1012.9,-8.1,0
Wanshouxigong,2013,3,5,5,138,87,-1.9,1012.9,-7.8,0
Wanshouxigong,2013,3,5,6,132,87,-0.1,1012.6,-9,0
Wanshouxigong,2013,3,5,7,129,87,2.4,1012.5,-7.5,0
Wanshouxigong,2013,3,5,8,118,87,7.2,1012.3,-8.8,0
Wanshouxigong,2013,3,5,9,117,87,9,1011.7,-8.6,0
Wanshouxigong,2013,3,5,10,126,87,10.3,1011,-8.9,0
Wanshouxigong,2013,3,5,11,133,87,11.4,1010.2,-9,0
Wanshouxigong,2013,3,5,12,138,25,13.2,1008.6,-8.7,0
Wanshouxigong,2013,3,5,13,134,87,14.7,1007.4,-8.1,0
Wanshouxigong,2013,3,5,14,142,87,15.4,1006.5,-7.5,0
Wanshouxigong,2013,3,5,15,168,87,15.9,1006.2,-7.1,0
Wanshouxigong,2013,3,5,16,193,87,14.9,1006,-6.7,0
Wanshouxigong,2013,3,5,17,184,78,11.3,1006.5,-5.7,0
Wanshouxigong,2013,3,5,18,180,78,11.3,1007,-5.7,0
Wanshouxigong,2013,3,5,19,185,78,6.8,1007.6,-5.9,0
Wanshouxigong,2013,3,5,20,198,78,5.7,1007.9,-5.6,0
Wanshouxigong,2013,3,5,21,202,78,4.6,1007.9,-5.5,0
Wanshouxigong,2013,3,5,22,216,78,4.4,1007.9,-5.4,0
Wanshouxigong,2013,3,5,23,214,78,7.9,1007.5,-6.6,0
Wanshouxigong,2013,3,6,0,220,78,4.8,1007.5,-6.2,0
Wanshouxigong,2013,3,6,1,229,78,2.5,1007.3,-5.6,0
Wanshouxigong,2013,3,6,2,220,78,2.3,1007,-5.4,0
Wanshouxigong,2013,3,6,3,159,78,3.6,1006.9,-5.6,0
Wanshouxigong,2013,3,6,4,149,78,4.7,1006.7,-6,0
Wanshouxigong,2013,3,6,5,186,78,4.9,1006.8,-5.5,0
Wanshouxigong,2013,3,6,6,187,78,5.3,1007.5,-5.7,0
Wanshouxigong,2013,3,6,7,186,78,6.7,1008.2,-5.6,0
Wanshouxigong,2013,3,6,8,193,78,7.6,1008.2,-4.8,0
Wanshouxigong,2013,3,6,9,194,78,8.7,1008.1,-5.6,0
Wanshouxigong,2013,3,6,10,181,78,9.6,1007.8,-5.1,0
Wanshouxigong,2013,3,6,11,177,78,11.4,1006.7,-4.3,0
Wanshouxigong,2013,3,6,12,187,78,12.2,1006,-4.5,0
Wanshouxigong,2013,3,6,13,192,78,13.4,1005.3,-4.3,0
Wanshouxigong,2013,3,6,14,209,78,14.6,1004.6,-4.2,0
Wanshouxigong,2013,3,6,15,226,78,14.5,1004.6,-4.3,0
Wanshouxigong,2013,3,6,16,224,78,13.8,1004.5,-4,0
Wanshouxigong,2013,3,6,17,225,67,12,1005.2,-3.8,0
Wanshouxigong,2013,3,6,18,227,8,8.6,1006.2,-3.6,0
Wanshouxigong,2013,3,6,19,228,8,6,1006.8,-3.7,0
Wanshouxigong,2013,3,6,20,236,8,4.7,1007.6,-3.3,0
Wanshouxigong,2013,3,6,21,247,8,5,1007.1,-3.1,0
Wanshouxigong,2013,3,6,22,253,8,6.8,1006.8,-2.9,0
Wanshouxigong,2013,3,6,23,254,8,5.4,1006.9,-2.9,0
Wanshouxigong,2013,3,7,0,258,8,5.2,1006.6,-2.9,0
Wanshouxigong,2013,3,7,1,270,8,3.3,1006.5,-3.1,0
Wanshouxigong,2013,3,7,2,280,8,2.2,1006,-3.1,0
Wanshouxigong,2013,3,7,3,264,8,1,1005.7,-3.5,0
Wanshouxigong,2013,3,7,4,249,8,0,1005.7,-3.6,0
Wanshouxigong,2013,3,7,5,243,8,-0.4,1005.7,-3.1,0
Wanshouxigong,2013,3,7,6,243,8,-0.3,1005.7,-2.7,0
Wanshouxigong,2013,3,7,7,240,8,3.6,1006,-0.6,0
Wanshouxigong,2013,3,7,8,249,8,9.4,1005.7,-0.8,0
Wanshouxigong,2013,3,7,9,262,8,10.1,1005.2,-1,0
Wanshouxigong,2013,3,7,10,292,8,12.8,1004.4,-0.8,0
Wanshouxigong,2013,3,7,11,327,8,15.6,1002.7,-2.4,0
