date_and_time,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
1/1/2019 0:00,98,0,4,1019.6,-0.7,0
1/1/2019 1:00,114,0,5.4,1020.5,-0.7,0
1/1/2019 2:00,136,0.001,6.4,1021.4,0,0
1/1/2019 3:00,177,0.004,10,1022.2,2.2,0
1/1/2019 4:00,195,0.019,12.9,1022.4,-0.4,0
1/1/2019 5:00,127,0.033,14.2,1022.1,0.1,0
1/1/2019 6:00,62,0.041,15.2,1021.2,0.7,0
1/1/2019 7:00,41,0.047,15.6,1020,1.6,0
1/1/2019 8:00,39,0.052,15.7,1018.8,2.1,0
1/1/2019 9:00,67,0.051,15.3,1018.4,2.6,0
1/1/2019 10:00,47,0.042,14.6,1018.7,3.1,0
1/1/2019 11:00,38,0.034,12.8,1019,7.4,0
1/1/2019 12:00,51,0.026,11.3,1019.1,3,0
1/1/2019 13:00,91,0.01,10.8,1019.9,2.6,0
1/1/2019 14:00,90,0.012,11.2,1020.8,1.2,0
1/1/2019 15:00,113,0.008,10.7,1021.4,1.4,0
1/1/2019 16:00,87,0.01,8.5,1021.7,2.2,0
1/1/2019 17:00,142,0.001,6.9,1021.9,2.4,0
1/1/2019 18:00,141,0,6.6,1021.9,2.4,0
1/1/2019 19:00,125,0,6.3,1021.5,2.2,0
1/1/2019 20:00,83,0.001,6.2,1021.1,2.1,0
1/1/2019 21:00,68,0.002,6.2,1020.1,1.8,0
1/1/2019 22:00,66,0.002,5.9,1019.6,1.4,0
1/1/2019 23:00,80,0.001,5.1,1019.3,1.1,0
1/2/2019 0:00,80,0,3.6,1019.9,1.3,0
1/2/2019 1:00,85,0,3.4,1020.5,0.6,0
1/2/2019 2:00,122,0.001,4.6,1021.7,0.2,0
1/2/2019 3:00,143,0.004,9.5,1022.7,2.5,0
1/2/2019 4:00,193,0.017,12.8,1023.1,-1.2,0
1/2/2019 5:00,134,0.034,14.3,1021.9,-0.8,0
1/2/2019 6:00,91,0.045,15.5,1020.4,-0.9,0
1/2/2019 7:00,45,0.046,16,1019.1,-1.3,0
1/2/2019 8:00,39,0.047,15.5,1018.3,0.2,0
1/2/2019 9:00,39,0.036,14.6,1018.3,2.2,0
1/2/2019 10:00,32,0.03,13.8,1018.5,2.6,0
1/2/2019 11:00,38,0.026,12.2,1018.6,7.3,0
1/2/2019 12:00,46,0.021,12.4,1019.2,1.1,0
1/2/2019 13:00,73,0.009,11.8,1019.8,1.7,0
1/2/2019 14:00,95,0.007,11.2,1020.5,2,0
1/2/2019 15:00,127,0.004,9.3,1020.8,2.5,0
1/2/2019 16:00,115,0.005,7.4,1020.6,2.5,0
1/2/2019 17:00,78,0.009,6.8,1020.7,2,0
1/2/2019 18:00,75,0.005,6.4,1020.5,1.9,0
1/2/2019 19:00,79,0.001,6.2,1020.2,1.7,0
1/2/2019 20:00,71,0.003,5.9,1019.4,1.3,0
1/2/2019 21:00,63,0.002,5.6,1019,0.8,0
1/2/2019 22:00,52,0.002,5.6,1018.5,0.2,0
1/2/2019 23:00,55,0.001,5.5,1018.3,-0.3,0
1/3/2019 0:00,59,0,4.1,1019.1,-0.7,0
1/3/2019 1:00,82,0,4.7,1019.7,-0.6,0
1/3/2019 2:00,111,0.001,6.1,1020.6,-0.2,0
1/3/2019 3:00,191,0.005,9.6,1021.7,1.5,0
1/3/2019 4:00,158,0.017,12,1021.9,0.6,0
1/3/2019 5:00,106,0.032,13.2,1021,0,0.2
1/3/2019 6:00,56,0.039,13.9,1020,-0.9,0.1
1/3/2019 7:00,41,0.045,14.3,1018.6,-1.1,0.3
1/3/2019 8:00,27,0.035,14.1,1017.5,-1.1,0.4
1/3/2019 9:00,26,0.032,13.8,1017.2,-1.2,0.2
1/3/2019 10:00,26,0.031,12.8,1017.5,-0.7,0
1/3/2019 11:00,28,0.026,11.3,1018,2.4,0
1/3/2019 12:00,50,0.013,8.8,1018.5,3.6,0
1/3/2019 13:00,52,0.017,8.3,1019.2,3.5,0
1/3/2019 14:00,74,0.019,7.1,1019.8,3.6,0
1/3/2019 15:00,78,0.011,6.1,1020.2,3.6,0
1/3/2019 16:00,96,0.005,5.7,1020.2,2.8,0
1/3/2019 17:00,106,0.001,5.7,1020.2,1.5,0
1/3/2019 18:00,79,0.002,5.5,1020,0.8,0
1/3/2019 19:00,57,0.003,5.3,1019.6,0.4,0
1/3/2019 20:00,59,0.002,5,1019.4,-0.1,0
1/3/2019 21:00,57,0.002,4.9,1019.2,-0.8,0
1/3/2019 22:00,117,0.003,5,1018.4,-1.5,0
1/3/2019 23:00,65,0.002,5.2,1018.1,-2.3,0
1/4/2019 0:00,73,0,3.8,1018.7,-1.7,0
1/4/2019 1:00,88,0,3.8,1018.9,-1.8,0
1/4/2019 2:00,125,0,4.7,1019.9,-1,0
1/4/2019 3:00,229,0.003,8.5,1021.3,0.9,0
1/4/2019 4:00,169,0.017,11,1021.8,0.5,0
1/4/2019 5:00,131,0.033,12.3,1021.5,0.8,0
1/4/2019 6:00,73,0.039,13.5,1020.3,1.2,0
1/4/2019 7:00,32,0.04,14.4,1018.9,0.7,0
1/4/2019 8:00,38,0.046,14.4,1018.1,1,0
1/4/2019 9:00,25,0.04,14.1,1018,1.5,0
1/4/2019 10:00,36,0.034,13.5,1018,1.8,0
1/4/2019 11:00,38,0.029,12.2,1018.7,4.6,0
1/4/2019 12:00,55,0.019,9.7,1019.1,3.9,0
1/4/2019 13:00,66,0.017,8.6,1020.8,4.8,0
1/4/2019 14:00,109,0.009,8,1022.1,4.8,0
1/4/2019 15:00,102,0.01,7.9,1022.3,4.5,0
1/4/2019 16:00,76,0.011,7.1,1022.4,4,0
1/4/2019 17:00,86,0.006,6.4,1022.3,3.9,0
1/4/2019 18:00,93,0.004,5.1,1022.7,3.5,0
1/4/2019 19:00,91,0.001,3.9,1022.1,3,0
1/4/2019 20:00,90,0,2.9,1021.5,2.5,0
1/4/2019 21:00,60,0,2.6,1021.4,2,0
1/4/2019 22:00,70,0.001,2.6,1020.9,1.7,0
